,City1_State,City1,City2_State,City2,Month_num,Passenger_Trips
0,New South Wales,ALBURY,New South Wales,SYDNEY,1,12665
1,New South Wales,ALBURY,New South Wales,SYDNEY,2,15546
2,New South Wales,ALBURY,New South Wales,SYDNEY,3,12140
3,New South Wales,ALBURY,New South Wales,SYDNEY,4,314
4,New South Wales,ALBURY,New South Wales,SYDNEY,5,416
5,New South Wales,ALBURY,New South Wales,SYDNEY,6,0
6,New South Wales,ALBURY,New South Wales,SYDNEY,7,0
7,New South Wales,ALBURY,New South Wales,SYDNEY,8,0
8,New South Wales,ALBURY,New South Wales,SYDNEY,9,0
9,New South Wales,ALBURY,New South Wales,SYDNEY,10,0
10,New South Wales,ALBURY,New South Wales,SYDNEY,11,0
11,New South Wales,ALBURY,New South Wales,SYDNEY,12,0
12,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,1,8618
13,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,2,8505
14,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,3,7152
15,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,4,0
16,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,5,0
17,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,6,0
18,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,7,0
19,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,8,0
20,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,9,0
21,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,10,9390
22,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,11,0
23,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,12,0
24,South Australia,ADELAIDE,Queensland,BRISBANE,1,75173
25,South Australia,ADELAIDE,Queensland,BRISBANE,2,60687
26,South Australia,ADELAIDE,Queensland,BRISBANE,3,45456
27,South Australia,ADELAIDE,Queensland,BRISBANE,4,0
28,South Australia,ADELAIDE,Queensland,BRISBANE,5,0
29,South Australia,ADELAIDE,Queensland,BRISBANE,6,0
30,South Australia,ADELAIDE,Queensland,BRISBANE,7,18226
31,South Australia,ADELAIDE,Queensland,BRISBANE,8,27220
32,South Australia,ADELAIDE,Queensland,BRISBANE,9,29020
33,South Australia,ADELAIDE,Queensland,BRISBANE,10,44849
34,South Australia,ADELAIDE,Queensland,BRISBANE,11,27540
35,South Australia,ADELAIDE,Queensland,BRISBANE,12,32187
36,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,1,12283
37,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,2,14618
38,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,3,10147
39,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,4,0
40,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,5,0
41,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,6,0
42,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,7,0
43,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,8,0
44,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,9,0
45,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,10,9597
46,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,11,0
47,South Australia,ADELAIDE,Australian Capital Territory,CANBERRA,12,9412
48,South Australia,ADELAIDE,Victoria,MELBOURNE,1,199543
49,South Australia,ADELAIDE,Victoria,MELBOURNE,2,193053
50,South Australia,ADELAIDE,Victoria,MELBOURNE,3,129445
51,South Australia,ADELAIDE,Victoria,MELBOURNE,4,4487
52,South Australia,ADELAIDE,Victoria,MELBOURNE,5,6165
53,South Australia,ADELAIDE,Victoria,MELBOURNE,6,7413
54,South Australia,ADELAIDE,Victoria,MELBOURNE,7,4137
55,South Australia,ADELAIDE,Victoria,MELBOURNE,8,1191
56,South Australia,ADELAIDE,Victoria,MELBOURNE,9,1369
57,South Australia,ADELAIDE,Victoria,MELBOURNE,10,0
58,South Australia,ADELAIDE,Victoria,MELBOURNE,11,0
59,South Australia,ADELAIDE,Victoria,MELBOURNE,12,62656
60,South Australia,ADELAIDE,Queensland,GOLD COAST,1,19708
61,South Australia,ADELAIDE,Queensland,GOLD COAST,2,16186
62,South Australia,ADELAIDE,Queensland,GOLD COAST,3,11638
63,South Australia,ADELAIDE,Queensland,GOLD COAST,4,0
64,South Australia,ADELAIDE,Queensland,GOLD COAST,5,0
65,South Australia,ADELAIDE,Queensland,GOLD COAST,6,0
66,South Australia,ADELAIDE,Queensland,GOLD COAST,7,0
67,South Australia,ADELAIDE,Queensland,GOLD COAST,8,0
68,South Australia,ADELAIDE,Queensland,GOLD COAST,9,0
69,South Australia,ADELAIDE,Queensland,GOLD COAST,10,9744
70,South Australia,ADELAIDE,Queensland,GOLD COAST,11,0
71,South Australia,ADELAIDE,Queensland,GOLD COAST,12,10434
72,South Australia,ADELAIDE,Western Australia,PERTH,1,56502
73,South Australia,ADELAIDE,Western Australia,PERTH,2,48805
74,South Australia,ADELAIDE,Western Australia,PERTH,3,35323
75,South Australia,ADELAIDE,Western Australia,PERTH,4,653
76,South Australia,ADELAIDE,Western Australia,PERTH,5,0
77,South Australia,ADELAIDE,Western Australia,PERTH,6,0
78,South Australia,ADELAIDE,Western Australia,PERTH,7,0
79,South Australia,ADELAIDE,Western Australia,PERTH,8,0
80,South Australia,ADELAIDE,Western Australia,PERTH,9,0
81,South Australia,ADELAIDE,Western Australia,PERTH,10,0
82,South Australia,ADELAIDE,Western Australia,PERTH,11,0
83,South Australia,ADELAIDE,Western Australia,PERTH,12,8215
84,South Australia,ADELAIDE,South Australia,PORT LINCOLN,1,14893
85,South Australia,ADELAIDE,South Australia,PORT LINCOLN,2,14698
86,South Australia,ADELAIDE,South Australia,PORT LINCOLN,3,11183
87,South Australia,ADELAIDE,South Australia,PORT LINCOLN,4,564
88,South Australia,ADELAIDE,South Australia,PORT LINCOLN,5,920
89,South Australia,ADELAIDE,South Australia,PORT LINCOLN,6,0
90,South Australia,ADELAIDE,South Australia,PORT LINCOLN,7,0
91,South Australia,ADELAIDE,South Australia,PORT LINCOLN,8,0
92,South Australia,ADELAIDE,South Australia,PORT LINCOLN,9,0
93,South Australia,ADELAIDE,South Australia,PORT LINCOLN,10,9137
94,South Australia,ADELAIDE,South Australia,PORT LINCOLN,11,0
95,South Australia,ADELAIDE,South Australia,PORT LINCOLN,12,9286
96,South Australia,ADELAIDE,New South Wales,SYDNEY,1,151785
97,South Australia,ADELAIDE,New South Wales,SYDNEY,2,138027
98,South Australia,ADELAIDE,New South Wales,SYDNEY,3,99202
99,South Australia,ADELAIDE,New South Wales,SYDNEY,4,2687
100,South Australia,ADELAIDE,New South Wales,SYDNEY,5,0
101,South Australia,ADELAIDE,New South Wales,SYDNEY,6,0
102,South Australia,ADELAIDE,New South Wales,SYDNEY,7,9282
103,South Australia,ADELAIDE,New South Wales,SYDNEY,8,5082
104,South Australia,ADELAIDE,New South Wales,SYDNEY,9,10315
105,South Australia,ADELAIDE,New South Wales,SYDNEY,10,56685
106,South Australia,ADELAIDE,New South Wales,SYDNEY,11,54523
107,South Australia,ADELAIDE,New South Wales,SYDNEY,12,49294
108,New South Wales,ARMIDALE,New South Wales,SYDNEY,1,8069
109,New South Wales,ARMIDALE,New South Wales,SYDNEY,2,8830
110,New South Wales,ARMIDALE,New South Wales,SYDNEY,3,5573
111,New South Wales,ARMIDALE,New South Wales,SYDNEY,4,0
112,New South Wales,ARMIDALE,New South Wales,SYDNEY,5,0
113,New South Wales,ARMIDALE,New South Wales,SYDNEY,6,0
114,New South Wales,ARMIDALE,New South Wales,SYDNEY,7,0
